# DataSuite 2 reference corpus – slug <TAB> reference text, sorted by slug. See README.md.
entropy	Hausser J, Strimmer K (2025). _entropy: Estimation of Entropy, Mutual Information and Related Quantities_. doi:10.32614/CRAN.package.entropy <https://doi.org/10.32614/CRAN.package.entropy>. R package version {version}.
fabia	Hochreiter S (2026). _fabia: Factor Analysis for Bicluster Acquisition_. R package version {version}, <https://bioconductor.org/packages/fabia>.
forecast	Hyndman R, Athanasopoulos G, Bergmeir C, Caceres G, Chhay L, O'Hara-Wild M, Petropoulos F, Razbash S, Wang E, Yasmeen F (2026). _forecast: Forecasting functions for time series and linear models_. doi:10.32614/CRAN.package.forecast <https://doi.org/10.32614/CRAN.package.forecast>. R package version {version}, <https://pkg.robjhyndman.com/forecast/>.
glmnet	Friedman J, Hastie T, Tibshirani R, Narasimhan B, Tay K, Simon N, Yang J, Taylor J (2026). _glmnet: Lasso and Elastic-Net Regularized Generalized Linear Models_. doi:10.32614/CRAN.package.glmnet <https://doi.org/10.32614/CRAN.package.glmnet>. R package version {version}.
grpreg	Breheny P, Miller R (2026). _grpreg: Regularization Paths for Regression Models with Grouped Covariates_. doi:10.32614/CRAN.package.grpreg <https://doi.org/10.32614/CRAN.package.grpreg>. R package version {version}.
haven	Wickham H, Miller E, Smith D (2025). _haven: Import and Export 'SPSS', 'Stata' and 'SAS' Files_. doi:10.32614/CRAN.package.haven <https://doi.org/10.32614/CRAN.package.haven>. R package version {version}.
icenReg	Anderson-Bergman C (2024). _icenReg: Regression Models for Interval Censored Data_. doi:10.32614/CRAN.package.icenReg <https://doi.org/10.32614/CRAN.package.icenReg>. R package version {version}.
infotheo	Meyer PE (2022). _infotheo: Information-Theoretic Measures_. doi:10.32614/CRAN.package.infotheo <https://doi.org/10.32614/CRAN.package.infotheo>. R package version {version}.
irr	Gamer M, Lemon J, Fellows I, Singh P (2019). _irr: Various Coefficients of Interrater Reliability and Agreement_. doi:10.32614/CRAN.package.irr <https://doi.org/10.32614/CRAN.package.irr>. R package version {version}.
kSamples	Scholz F, Zhu A (2025). _kSamples: K-Sample Rank Tests and their Combinations_. doi:10.32614/CRAN.package.kSamples <https://doi.org/10.32614/CRAN.package.kSamples>. R package version {version}.
lavaan	Rosseel Y, Jorgensen T, De Wilde L (2026). _lavaan: Latent Variable Analysis_. doi:10.32614/CRAN.package.lavaan <https://doi.org/10.32614/CRAN.package.lavaan>. R package version {version}.
